State/UT,No. of Companies - Public,Authorized Capital - Public,No. of Companies - Private,Authorized Capital - Private,No. of Companies - Total,Authorized Capital - Total
Andhra Pradesh,37    ," 22,221.75 ",30    , 589.18 ,67    ," 22,810.93 "
Arunachal Pradesh,1    , 5.00 ,3    , 12.00 ,4    , 17.00 
Assam,22    ," 7,550.65 ",16    , 784.30 ,38    ," 8,334.95 "
Bihar,20    ," 4,830.90 ",6    , 120.41 ,26    ," 4,951.31 "
Chhatisgarh,20    ," 22,437.10 ",4    ," 1,339.00 ",24    ," 23,776.10 "
Goa,13    , 405.75 ,4    , 5.77 ,17    , 411.52 
Gujarat,66    ," 74,716.85 ",4    , 50.03 ,70    ," 74,766.88 "
Haryana,18    ," 31,711.00 ",3    , 125.05 ,21    ," 31,836.05 "
Himachal Pradesh,8    ," 8,278.00 ",7    ," 2,083.50 ",15    ," 10,361.50 "
Jammu & Kashmir,12    , 418.00 ,10    ," 5,008.31 ",22    ," 5,426.31 "
Jharkhand,14    ," 8,370.35 ",11    ," 5,289.06 ",25    ," 13,659.41 "
Karnataka,67    ," 61,434.95 ",16    , 257.38 ,83    ," 61,692.33 "
Kerala,71    ," 11,632.35 ",37    ," 1,425.45 ",108    ," 13,057.80 "
Madhya Pradesh,47    ," 32,392.15 ",15    ," 1,980.00 ",62    ," 34,372.15 "
Maharashtra,103    ," 101,309.30 ",51    ," 6,443.28 ",154    ," 107,752.58 "
Manipur,4    , 230.15 ,0    ,0.00 ,4    , 230.15 
Meghalaya,9    ," 8,481.60 ",6    , 120.50 ,15    ," 8,602.10 "
Mizoram,2    , 45.00 ,1    , 20.00 ,3    , 65.00 
Nagaland,1    , 150.00 ,3    , 32.00 ,4    , 182.00 
Odisha,41    ," 10,091.60 ",6    ," 1,313.05 ",47    ," 11,404.65 "
Punjab,9    ," 27,921.25 ",3    , 1.07 ,12    ," 27,922.32 "
Rajasthan,58    ," 35,014.40 ",2    , 25.01 ,60    ," 35,039.41 "
Tamil Nadu,57    ," 54,757.30 ",15    , 105.72 ,72    ," 54,863.02 "
Tripura,7    ," 1,117.00 ",4    , 120.00 ,11    ," 1,237.00 "
Uttar Pradesh,79    ," 118,038.77 ",10    , 567.07 ,89    ," 118,605.84 "
Uttrakhand,17    ," 8,191.35 ",2    , 75.05 ,19    ," 8,266.40 "
West Bengal,75    ," 32,456.53 ",18    ," 3,639.87 ",93    ," 36,096.40 "
A & N Island,1    , 1.00 ,1    , 50.00 ,2    , 51.00 
Chandigarh,18    , 637.07 ,9    , 137.09 ,27    , 774.16 
D & N Haveli,3    , 110.05 ,0    ,0.00 ,3    , 110.05 
Daman & Diu,1    , 50.00 ,0    ,0.00 ,1    , 50.00 
Delhi,130    ," 174,077.69 ",31    ," 4,358.88 ",161    ," 178,436.57 "
Lakshdweep,0    ,0.00 ,1    , 10.00 ,1    , 10.00 
Puducherry,0    ,0.00 ,15    , 702.76 ,15    , 702.76 
Total,"1,031"," 859,084.86 ",344    ," 36,790.79 ","1,375"," 895,875.65 "
